Tarih;SKU;Ürün;Kategori;Adet;Birim Fiyat;Ciro;Maliyet;İskonto;İade;Kanal;Müşteri No
2026-01-28;AYK-002;Ayakkabı 2;Ayakkabı;1;1078,00;1018,88;646,80;59,12;Hayır;Web;MUS-0041
2026-01-29;AYK-005;Ayakkabı 5;Ayakkabı;1;1173,00;1134,43;703,80;38,57;Hayır;Mağaza;MUS-0049
2026-01-29;ELK-004;Elektronik 4;Elektronik;2;2033,00;4027,88;3252,80;38,12;Hayır;Mağaza;MUS-0102
2026-01-29;AYK-002;Ayakkabı 2;Ayakkabı;1;1079,00;1016,26;647,40;62,74;Hayır;Mağaza;MUS-0302
2026-01-29;GIY-005;Giyim Ürünü 5;Giyim;3;627,00;1876,58;1034,55;4,42;Hayır;Pazaryeri;MUS-0234
2026-01-29;AYK-001;Ayakkabı 1;Ayakkabı;2;1213,00;2275,34;1455,60;150,66;Hayır;Web;MUS-0034
2026-01-29;AKS-003;Aksesuar 3;Aksesuar;2;64,00;119,13;57,60;8,87;Hayır;Web;MUS-0277
2026-01-29;GIY-001;Giyim Ürünü 1;Giyim;1;348,00;323,34;191,40;24,66;Hayır;Pazaryeri;MUS-0012
2026-01-29;EVT-003;Ev Tekstili 3;Ev Tekstili;3;359,00;1036,98;538,50;40,02;Hayır;Mağaza;MUS-0301
2026-01-29;GIY-004;Giyim Ürünü 4;Giyim;3;460,00;1305,13;759,00;74,87;Hayır;Web;MUS-0025
2026-01-29;GIY-001;Giyim Ürünü 1;Giyim;3;567,00;1597,54;935,55;103,46;Hayır;Mağaza;MUS-0191
2026-01-29;ELK-004;Elektronik 4;Elektronik;3;3385,00;9865,75;8124,00;289,25;Hayır;Mağaza;MUS-0308
2026-01-29;EVT-002;Ev Tekstili 2;Ev Tekstili;1;724,00;718,91;362,00;5,09;Hayır;Web;MUS-0275
2026-01-29;EVT-003;Ev Tekstili 3;Ev Tekstili;2;161,00;309,23;161,00;12,77;Hayır;Web;MUS-0095
2026-01-29;EVT-004;Ev Tekstili 4;Ev Tekstili;2;162,00;307,91;162,00;16,09;Hayır;Pazaryeri;MUS-0076
2026-01-29;AYK-003;Ayakkabı 3;Ayakkabı;1;1284,00;1184,48;770,40;99,52;Hayır;Pazaryeri;MUS-0006
2026-01-29;ELK-004;Elektronik 4;Elektronik;3;2134,00;6003,64;5121,60;398,36;Hayır;Web;MUS-0331
2026-01-29;AKS-001;Aksesuar 1;Aksesuar;3;87,00;242,75;117,45;18,25;Hayır;Pazaryeri;MUS-0023
2026-01-29;EVT-005;Ev Tekstili 5;Ev Tekstili;2;410,00;760,36;410,00;59,64;Hayır;Web;MUS-0147
2026-01-29;ELK-001;Elektronik 1;Elektronik;3;5666,00;16491,36;13598,40;506,64;Hayır;Pazaryeri;MUS-0350
2026-01-29;AYK-002;Ayakkabı 2;Ayakkabı;1;444,00;427,17;266,40;16,83;Hayır;Mağaza;MUS-0100
2026-01-29;AKS-003;Aksesuar 3;Aksesuar;2;263,00;507,60;236,70;18,40;Hayır;Pazaryeri;MUS-0336
2026-01-29;EVT-002;Ev Tekstili 2;Ev Tekstili;3;351,00;1035,61;526,50;17,39;Hayır;Mağaza;MUS-0138
2026-01-30;AYK-002;Ayakkabı 2;Ayakkabı;1;1283,00;1200,63;769,80;82,37;Hayır;Web;MUS-0249
2026-01-30;GIY-005;Giyim Ürünü 5;Giyim;1;338,00;332,28;185,90;5,72;Hayır;Web;MUS-0162
2026-01-30;AKS-005;Aksesuar 5;Aksesuar;2;202,00;386,78;181,80;17,22;Hayır;Web;MUS-0053
2026-01-30;GIY-005;Giyim Ürünü 5;Giyim;1;237,00;222,20;130,35;14,80;Hayır;Web;MUS-0301
2026-01-30;AKS-003;Aksesuar 3;Aksesuar;3;219,00;651,90;295,65;5,10;Hayır;Pazaryeri;MUS-0297
2026-01-30;AKS-002;Aksesuar 2;Aksesuar;2;120,00;230,86;108,00;9,14;Hayır;Web;MUS-0010
2026-01-30;AYK-005;Ayakkabı 5;Ayakkabı;3;852,00;2551,48;1533,60;4,52;Hayır;Web;MUS-0165
2026-01-30;ELK-005;Elektronik 5;Elektronik;1;5398,00;5045,40;4318,40;352,60;Hayır;Mağaza;MUS-0029
2026-01-30;AKS-002;Aksesuar 2;Aksesuar;3;63,00;178,33;85,05;10,67;Hayır;Mağaza;MUS-0008
2026-01-30;GIY-004;Giyim Ürünü 4;Giyim;2;381,00;725,67;419,10;36,33;Hayır;Pazaryeri;MUS-0234
2026-01-30;EVT-003;Ev Tekstili 3;Ev Tekstili;1;132,00;124,00;66,00;8,00;Hayır;Pazaryeri;MUS-0156
2026-01-30;ELK-004;Elektronik 4;Elektronik;3;3654,00;10252,47;8769,60;709,53;Hayır;Pazaryeri;MUS-0240
2026-01-30;GIY-003;Giyim Ürünü 3;Giyim;2;159,00;302,61;174,90;15,39;Hayır;Pazaryeri;MUS-0342
2026-01-30;ELK-005;Elektronik 5;Elektronik;1;4086,00;3943,44;3268,80;142,56;Hayır;Pazaryeri;MUS-0228
2026-01-30;GIY-003;Giyim Ürünü 3;Giyim;1;379,00;359,28;208,45;19,72;Hayır;Web;MUS-0009
2026-01-30;EVT-001;Ev Tekstili 1;Ev Tekstili;2;146,00;287,88;146,00;4,12;Hayır;Web;MUS-0112
2026-01-30;GIY-005;Giyim Ürünü 5;Giyim;3;293,00;873,69;483,45;5,31;Hayır;Mağaza;MUS-0122
2026-01-30;GIY-001;Giyim Ürünü 1;Giyim;1;672,00;618,96;369,60;53,04;Hayır;Mağaza;MUS-0342
2026-01-30;AKS-001;Aksesuar 1;Aksesuar;3;236,00;659,95;318,60;48,05;Hayır;Web;MUS-0188
2026-01-30;AYK-004;Ayakkabı 4;Ayakkabı;2;523,00;1019,05;627,60;26,95;Hayır;Mağaza;MUS-0204
2026-01-30;AYK-003;Ayakkabı 3;Ayakkabı;2;325,00;634,57;390,00;15,43;Hayır;Pazaryeri;MUS-0125
2026-01-30;GIY-003;Giyim Ürünü 3;Giyim;3;173,00;484,85;285,45;34,15;Hayır;Web;MUS-0226
2026-01-30;EVT-001;Ev Tekstili 1;Ev Tekstili;1;772,00;768,59;386,00;3,41;Hayır;Pazaryeri;MUS-0273
2026-01-30;GIY-001;Giyim Ürünü 1;Giyim;3;374,00;1117,34;617,10;4,66;Hayır;Pazaryeri;MUS-0029
2026-01-30;GIY-002;Giyim Ürünü 2;Giyim;3;529,00;1473,22;872,85;113,78;Hayır;Pazaryeri;MUS-0305
2026-01-31;ELK-004;Elektronik 4;Elektronik;2;5161,00;10017,39;8257,60;304,61;Hayır;Pazaryeri;MUS-0117
2026-01-31;EVT-001;Ev Tekstili 1;Ev Tekstili;2;163,00;305,75;163,00;20,25;Hayır;Web;MUS-0122
2026-01-31;GIY-003;Giyim Ürünü 3;Giyim;1;176,00;172,90;96,80;3,10;Hayır;Web;MUS-0238
2026-01-31;AYK-004;Ayakkabı 4;Ayakkabı;1;1100,00;1082,71;660,00;17,29;Hayır;Web;MUS-0127
2026-01-31;EVT-001;Ev Tekstili 1;Ev Tekstili;1;270,00;258,68;135,00;11,32;Hayır;Pazaryeri;MUS-0008
2026-01-31;EVT-004;Ev Tekstili 4;Ev Tekstili;3;192,00;554,19;288,00;21,81;Hayır;Mağaza;MUS-0090
2026-01-31;EVT-002;Ev Tekstili 2;Ev Tekstili;1;859,00;793,00;429,50;66,00;Hayır;Mağaza;MUS-0024
2026-01-31;EVT-002;Ev Tekstili 2;Ev Tekstili;3;641,00;1908,71;961,50;14,29;Hayır;Web;MUS-0130
2026-01-31;ELK-002;Elektronik 2;Elektronik;2;1837,00;3381,98;2939,20;292,02;Hayır;Web;MUS-0219
2026-01-31;AYK-004;Ayakkabı 4;Ayakkabı;1;1139,00;1063,33;683,40;75,67;Hayır;Web;MUS-0277
2026-01-31;GIY-002;Giyim Ürünü 2;Giyim;2;495,00;959,78;544,50;30,22;Hayır;Pazaryeri;MUS-0243
2026-01-31;AKS-004;Aksesuar 4;Aksesuar;2;105,00;202,98;94,50;7,02;Hayır;Web;MUS-0016
2026-01-31;AKS-003;Aksesuar 3;Aksesuar;3;296,00;821,25;399,60;66,75;Hayır;Mağaza;MUS-0128
2026-01-31;EVT-002;Ev Tekstili 2;Ev Tekstili;1;447,00;426,44;223,50;20,56;Hayır;Pazaryeri;MUS-0058
2026-01-31;AYK-001;Ayakkabı 1;Ayakkabı;2;834,00;1556,01;1000,80;111,99;Hayır;Web;MUS-0122
2026-01-31;AYK-001;Ayakkabı 1;Ayakkabı;3;1365,00;3911,86;2457,00;183,14;Hayır;Mağaza;MUS-0083
2026-01-31;EVT-004;Ev Tekstili 4;Ev Tekstili;3;233,00;683,40;349,50;15,60;Hayır;Mağaza;MUS-0340
2026-01-31;AKS-004;Aksesuar 4;Aksesuar;3;129,00;361,32;174,15;25,68;Hayır;Mağaza;MUS-0262
2026-01-31;AYK-003;Ayakkabı 3;Ayakkabı;2;1336,00;2463,42;1603,20;208,58;Hayır;Mağaza;MUS-0115
2026-01-31;GIY-002;Giyim Ürünü 2;Giyim;3;595,00;1761,38;981,75;23,62;Hayır;Pazaryeri;MUS-0155
2026-01-31;EVT-002;Ev Tekstili 2;Ev Tekstili;3;896,00;2526,81;1344,00;161,19;Hayır;Web;MUS-0348
2026-02-01;GIY-001;Giyim Ürünü 1;Giyim;2;467,00;913,43;513,70;20,57;Hayır;Web;MUS-0116
2026-02-01;EVT-001;Ev Tekstili 1;Ev Tekstili;1;293,00;275,21;146,50;17,79;Hayır;Web;MUS-0214
2026-02-01;EVT-004;Ev Tekstili 4;Ev Tekstili;3;809,00;2302,18;1213,50;124,82;Hayır;Pazaryeri;MUS-0197
2026-02-01;ELK-005;Elektronik 5;Elektronik;3;4493,00;12651,31;10783,20;827,69;Hayır;Pazaryeri;MUS-0098
2026-02-01;AKS-004;Aksesuar 4;Aksesuar;1;313,00;288,72;140,85;24,28;Hayır;Web;MUS-0008
2026-02-01;EVT-002;Ev Tekstili 2;Ev Tekstili;2;508,00;942,26;508,00;73,74;Hayır;Web;MUS-0195
2026-02-01;EVT-002;Ev Tekstili 2;Ev Tekstili;3;726,00;2167,88;1089,00;10,12;Hayır;Mağaza;MUS-0163
2026-02-01;EVT-003;Ev Tekstili 3;Ev Tekstili;3;754,00;2104,05;1131,00;157,95;Hayır;Pazaryeri;MUS-0015
2026-02-01;ELK-002;Elektronik 2;Elektronik;3;807,00;2367,84;1936,80;53,16;Hayır;Mağaza;MUS-0216
2026-02-01;AYK-003;Ayakkabı 3;Ayakkabı;3;1183,00;3349,98;2129,40;199,02;Hayır;Pazaryeri;MUS-0192
2026-02-01;GIY-005;Giyim Ürünü 5;Giyim;1;273,00;251,47;150,15;21,53;Hayır;Web;MUS-0079
2026-02-01;AKS-001;Aksesuar 1;Aksesuar;3;287,00;818,49;387,45;42,51;Hayır;Web;MUS-0176
2026-02-01;GIY-002;Giyim Ürünü 2;Giyim;2;328,00;650,11;360,80;5,89;Hayır;Mağaza;MUS-0332
2026-02-01;GIY-004;Giyim Ürünü 4;Giyim;2;263,00;490,56;289,30;35,44;Hayır;Mağaza;MUS-0114
2026-02-01;ELK-005;Elektronik 5;Elektronik;3;5955,00;17063,90;14292,00;801,10;Hayır;Web;MUS-0301
2026-02-01;ELK-004;Elektronik 4;Elektronik;1;5141,00;5108,11;4112,80;32,89;Hayır;Web;MUS-0154
2026-02-01;ELK-002;Elektronik 2;Elektronik;2;3140,00;6190,80;5024,00;89,20;Hayır;Pazaryeri;MUS-0250
2026-02-01;AYK-005;Ayakkabı 5;Ayakkabı;1;787,00;760,32;472,20;26,68;Hayır;Mağaza;MUS-0082
2026-02-01;GIY-002;Giyim Ürünü 2;Giyim;1;561,00;560,94;308,55;0,06;Hayır;Pazaryeri;MUS-0231
2026-02-01;EVT-004;Ev Tekstili 4;Ev Tekstili;1;732,00;702,34;366,00;29,66;Hayır;Web;MUS-0265
2026-02-01;EVT-003;Ev Tekstili 3;Ev Tekstili;3;712,00;2113,44;1068,00;22,56;Hayır;Pazaryeri;MUS-0027
2026-02-01;GIY-001;Giyim Ürünü 1;Giyim;1;278,00;274,29;152,90;3,71;Hayır;Pazaryeri;MUS-0004
2026-02-02;ELK-003;Elektronik 3;Elektronik;1;5813,00;5772,77;4650,40;40,23;Hayır;Mağaza;MUS-0303
2026-02-02;AYK-002;Ayakkabı 2;Ayakkabı;1;1101,00;1057,83;660,60;43,17;Hayır;Mağaza;MUS-0190
2026-02-02;AKS-005;Aksesuar 5;Aksesuar;1;269,00;262,86;121,05;6,14;Hayır;Web;MUS-0132
2026-02-02;EVT-004;Ev Tekstili 4;Ev Tekstili;1;818,00;767,34;409,00;50,66;Hayır;Web;MUS-0002
2026-02-02;ELK-002;Elektronik 2;Elektronik;3;4941,00;13914,34;11858,40;908,66;Hayır;Pazaryeri;MUS-0083
2026-02-02;GIY-004;Giyim Ürünü 4;Giyim;1;331,00;316,81;182,05;14,19;Hayır;Pazaryeri;MUS-0282
2026-02-02;ELK-005;Elektronik 5;Elektronik;2;2648,00;4989,75;4236,80;306,25;Hayır;Web;MUS-0344
2026-02-02;GIY-003;Giyim Ürünü 3;Giyim;1;408,00;399,16;224,40;8,84;Hayır;Pazaryeri;MUS-0160
2026-02-02;AKS-004;Aksesuar 4;Aksesuar;2;219,00;406,40;197,10;31,60;Hayır;Pazaryeri;MUS-0042
2026-02-02;GIY-005;Giyim Ürünü 5;Giyim;3;218,00;648,31;359,70;5,69;Hayır;Pazaryeri;MUS-0100
2026-02-02;AYK-005;Ayakkabı 5;Ayakkabı;1;496,00;493,67;297,60;2,33;Hayır;Mağaza;MUS-0190
2026-02-02;ELK-001;Elektronik 1;Elektronik;1;5846,00;5766,33;4676,80;79,67;Hayır;Mağaza;MUS-0130
2026-02-02;AYK-001;Ayakkabı 1;Ayakkabı;1;997,00;965,66;598,20;31,34;Hayır;Pazaryeri;MUS-0246
2026-02-02;ELK-001;Elektronik 1;Elektronik;1;5424,00;5187,39;4339,20;236,61;Hayır;Pazaryeri;MUS-0295
2026-02-02;EVT-001;Ev Tekstili 1;Ev Tekstili;2;235,00;458,97;235,00;11,03;Hayır;Mağaza;MUS-0299
2026-02-02;GIY-002;Giyim Ürünü 2;Giyim;2;531,00;1020,93;584,10;41,07;Hayır;Mağaza;MUS-0101
2026-02-02;ELK-002;Elektronik 2;Elektronik;1;1851,00;1731,51;1480,80;119,49;Hayır;Mağaza;MUS-0222
2026-02-02;GIY-003;Giyim Ürünü 3;Giyim;1;474,00;446,03;260,70;27,97;Hayır;Pazaryeri;MUS-0131
2026-02-02;ELK-001;Elektronik 1;Elektronik;3;5443,00;15579,75;13063,20;749,25;Hayır;Mağaza;MUS-0319
2026-02-03;GIY-002;Giyim Ürünü 2;Giyim;3;280,00;803,81;462,00;36,19;Hayır;Pazaryeri;MUS-0065
2026-02-03;EVT-005;Ev Tekstili 5;Ev Tekstili;3;841,00;2457,78;1261,50;65,22;Hayır;Pazaryeri;MUS-0120
2026-02-03;GIY-005;Giyim Ürünü 5;Giyim;1;444,00;416,81;244,20;27,19;Hayır;Pazaryeri;MUS-0276
2026-02-03;ELK-002;Elektronik 2;Elektronik;1;4370,00;4075,71;3496,00;294,29;Hayır;Mağaza;MUS-0271
2026-02-03;EVT-002;Ev Tekstili 2;Ev Tekstili;2;156,00;290,02;156,00;21,98;Hayır;Web;MUS-0137
2026-02-03;AKS-005;Aksesuar 5;Aksesuar;2;133,00;254,78;119,70;11,22;Hayır;Pazaryeri;MUS-0123
2026-02-03;EVT-001;Ev Tekstili 1;Ev Tekstili;2;764,00;1467,73;764,00;60,27;Hayır;Mağaza;MUS-0133
2026-02-03;AKS-005;Aksesuar 5;Aksesuar;3;231,00;692,26;311,85;0,74;Hayır;Web;MUS-0310
2026-02-03;AYK-001;Ayakkabı 1;Ayakkabı;1;312,00;287,33;187,20;24,67;Hayır;Mağaza;MUS-0102
2026-02-03;ELK-001;Elektronik 1;Elektronik;2;2342,00;4530,32;3747,20;153,68;Hayır;Mağaza;MUS-0156
2026-02-03;AYK-002;Ayakkabı 2;Ayakkabı;2;777,00;1450,83;932,40;103,17;Hayır;Mağaza;MUS-0284
2026-02-03;EVT-001;Ev Tekstili 1;Ev Tekstili;2;213,00;407,79;213,00;18,21;Hayır;Mağaza;MUS-0170
2026-02-03;AKS-003;Aksesuar 3;Aksesuar;2;338,00;633,50;304,20;42,50;Hayır;Mağaza;MUS-0251
2026-02-03;GIY-005;Giyim Ürünü 5;Giyim;2;619,00;1191,38;680,90;46,62;Hayır;Pazaryeri;MUS-0138
2026-02-03;ELK-002;Elektronik 2;Elektronik;3;815,00;2313,20;1956,00;131,80;Hayır;Mağaza;MUS-0057
2026-02-03;GIY-001;Giyim Ürünü 1;Giyim;3;586,00;1755,19;966,90;2,81;Hayır;Pazaryeri;MUS-0239
2026-02-03;AKS-002;Aksesuar 2;Aksesuar;3;191,00;552,20;257,85;20,80;Hayır;Web;MUS-0232
2026-02-03;AKS-002;Aksesuar 2;Aksesuar;2;66,00;125,93;59,40;6,07;Hayır;Pazaryeri;MUS-0245
2026-02-03;EVT-001;Ev Tekstili 1;Ev Tekstili;1;585,00;572,23;292,50;12,77;Hayır;Pazaryeri;MUS-0245
2026-02-03;EVT-001;Ev Tekstili 1;Ev Tekstili;3;324,00;941,09;486,00;30,91;Hayır;Pazaryeri;MUS-0287
2026-02-03;GIY-003;Giyim Ürünü 3;Giyim;2;625,00;1193,44;687,50;56,56;Hayır;Mağaza;MUS-0076
2026-02-03;EVT-004;Ev Tekstili 4;Ev Tekstili;1;273,00;268,92;136,50;4,08;Hayır;Mağaza;MUS-0217
2026-02-04;EVT-003;Ev Tekstili 3;Ev Tekstili;2;180,00;336,77;180,00;23,23;Hayır;Pazaryeri;MUS-0008
2026-02-04;AKS-002;Aksesuar 2;Aksesuar;2;298,00;566,75;268,20;29,25;Hayır;Pazaryeri;MUS-0160
2026-02-04;GIY-001;Giyim Ürünü 1;Giyim;2;587,00;1132,97;645,70;41,03;Hayır;Mağaza;MUS-0317
2026-02-04;GIY-002;Giyim Ürünü 2;Giyim;3;553,00;1584,33;912,45;74,67;Hayır;Pazaryeri;MUS-0194
2026-02-04;GIY-003;Giyim Ürünü 3;Giyim;3;280,00;839,94;462,00;0,06;Hayır;Web;MUS-0248
2026-02-04;AKS-002;Aksesuar 2;Aksesuar;2;279,00;531,86;251,10;26,14;Hayır;Pazaryeri;MUS-0221
2026-02-04;EVT-001;Ev Tekstili 1;Ev Tekstili;3;558,00;1561,17;837,00;112,83;Hayır;Pazaryeri;MUS-0101
2026-02-04;ELK-003;Elektronik 3;Elektronik;3;5567,00;15429,23;13360,80;1271,77;Hayır;Mağaza;MUS-0122
2026-02-04;AYK-001;Ayakkabı 1;Ayakkabı;1;649,00;642,55;389,40;6,45;Hayır;Web;MUS-0093
2026-02-04;ELK-002;Elektronik 2;Elektronik;2;5074,00;10008,44;8118,40;139,56;Hayır;Mağaza;MUS-0246
2026-02-04;ELK-002;Elektronik 2;Elektronik;2;3702,00;7264,68;5923,20;139,32;Hayır;Web;MUS-0231
2026-02-04;AKS-003;Aksesuar 3;Aksesuar;2;180,00;344,34;162,00;15,66;Hayır;Pazaryeri;MUS-0019
2026-02-04;GIY-003;Giyim Ürünü 3;Giyim;1;462,00;460,80;254,10;1,20;Hayır;Web;MUS-0161
2026-02-04;AKS-001;Aksesuar 1;Aksesuar;2;63,00;118,11;56,70;7,89;Hayır;Web;MUS-0108
2026-02-04;ELK-001;Elektronik 1;Elektronik;1;1320,00;1291,95;1056,00;28,05;Hayır;Mağaza;MUS-0230
2026-02-04;GIY-002;Giyim Ürünü 2;Giyim;3;407,00;1201,30;671,55;19,70;Hayır;Mağaza;MUS-0152
2026-02-04;ELK-005;Elektronik 5;Elektronik;2;4719,00;9023,62;7550,40;414,38;Hayır;Pazaryeri;MUS-0135
2026-02-04;AKS-003;Aksesuar 3;Aksesuar;1;142,00;140,64;63,90;1,36;Hayır;Mağaza;MUS-0150
2026-02-04;GIY-002;Giyim Ürünü 2;Giyim;2;172,00;319,81;189,20;24,19;Hayır;Pazaryeri;MUS-0004
2026-02-04;AKS-002;Aksesuar 2;Aksesuar;3;291,00;871,11;392,85;1,89;Hayır;Pazaryeri;MUS-0310
2026-02-05;AYK-005;Ayakkabı 5;Ayakkabı;2;627,00;1172,58;752,40;81,42;Hayır;Mağaza;MUS-0111
2026-02-05;AKS-002;Aksesuar 2;Aksesuar;1;121,00;120,07;54,45;0,93;Hayır;Mağaza;MUS-0043
2026-02-05;EVT-003;Ev Tekstili 3;Ev Tekstili;2;567,00;1096,39;567,00;37,61;Hayır;Mağaza;MUS-0288
2026-02-05;AKS-003;Aksesuar 3;Aksesuar;1;329,00;304,58;148,05;24,42;Hayır;Pazaryeri;MUS-0198
2026-02-05;EVT-003;Ev Tekstili 3;Ev Tekstili;3;173,00;485,67;259,50;33,33;Hayır;Web;MUS-0343
2026-02-05;GIY-001;Giyim Ürünü 1;Giyim;3;365,00;1061,78;602,25;33,22;Hayır;Mağaza;MUS-0251
2026-02-05;EVT-004;Ev Tekstili 4;Ev Tekstili;1;764,00;727,20;382,00;36,80;Hayır;Mağaza;MUS-0278
2026-02-05;ELK-004;Elektronik 4;Elektronik;2;5111,00;9556,17;8177,60;665,83;Hayır;Web;MUS-0038
2026-02-05;GIY-002;Giyim Ürünü 2;Giyim;3;496,00;1422,87;818,40;65,13;Hayır;Web;MUS-0323
2026-02-05;AKS-001;Aksesuar 1;Aksesuar;3;329,00;957,28;444,15;29,72;Hayır;Web;MUS-0318
2026-02-05;AYK-001;Ayakkabı 1;Ayakkabı;3;561,00;1657,93;1009,80;25,07;Hayır;Web;MUS-0168
2026-02-05;EVT-003;Ev Tekstili 3;Ev Tekstili;3;663,00;1972,97;994,50;16,03;Hayır;Pazaryeri;MUS-0194
2026-02-05;GIY-005;Giyim Ürünü 5;Giyim;3;658,00;1867,88;1085,70;106,12;Hayır;Web;MUS-0191
2026-02-05;EVT-004;Ev Tekstili 4;Ev Tekstili;1;593,00;580,09;296,50;12,91;Hayır;Pazaryeri;MUS-0201
2026-02-05;EVT-004;Ev Tekstili 4;Ev Tekstili;1;269,00;261,75;134,50;7,25;Hayır;Pazaryeri;MUS-0226
2026-02-05;GIY-004;Giyim Ürünü 4;Giyim;3;621,00;1734,01;1024,65;128,99;Hayır;Pazaryeri;MUS-0276
2026-02-05;AYK-003;Ayakkabı 3;Ayakkabı;3;1199,00;3418,47;2158,20;178,53;Hayır;Mağaza;MUS-0324
2026-02-05;GIY-003;Giyim Ürünü 3;Giyim;2;249,00;471,21;273,90;26,79;Hayır;Mağaza;MUS-0237
2026-02-05;AYK-005;Ayakkabı 5;Ayakkabı;1;929,00;872,29;557,40;56,71;Hayır;Pazaryeri;MUS-0137
2026-02-05;AKS-002;Aksesuar 2;Aksesuar;1;164,00;163,56;73,80;0,44;Hayır;Web;MUS-0135
2026-02-05;AKS-005;Aksesuar 5;Aksesuar;2;192,00;379,84;172,80;4,16;Hayır;Pazaryeri;MUS-0105
2026-02-05;GIY-002;Giyim Ürünü 2;Giyim;2;300,00;587,51;330,00;12,49;Hayır;Pazaryeri;MUS-0340
2026-02-05;AKS-002;Aksesuar 2;Aksesuar;1;283,00;279,69;127,35;3,31;Hayır;Pazaryeri;MUS-0026
2026-02-05;AYK-005;Ayakkabı 5;Ayakkabı;1;626,00;591,85;375,60;34,15;Hayır;Pazaryeri;MUS-0066
2026-02-06;AYK-003;Ayakkabı 3;Ayakkabı;3;509,00;1414,84;916,20;112,16;Hayır;Web;MUS-0313
2026-02-06;ELK-001;Elektronik 1;Elektronik;3;3184,00;9282,37;7641,60;269,63;Hayır;Mağaza;MUS-0027
2026-02-06;GIY-001;Giyim Ürünü 1;Giyim;1;201,00;189,85;110,55;11,15;Hayır;Pazaryeri;MUS-0069
2026-02-06;ELK-003;Elektronik 3;Elektronik;3;2158,00;6023,46;5179,20;450,54;Hayır;Web;MUS-0025
2026-02-06;GIY-003;Giyim Ürünü 3;Giyim;3;182,00;504,16;300,30;41,84;Hayır;Pazaryeri;MUS-0121
2026-02-06;ELK-001;Elektronik 1;Elektronik;1;4440,00;4156,35;3552,00;283,65;Hayır;Pazaryeri;MUS-0054
2026-02-06;AKS-001;Aksesuar 1;Aksesuar;1;73,00;72,17;32,85;0,83;Hayır;Mağaza;MUS-0261
2026-02-06;AYK-005;Ayakkabı 5;Ayakkabı;1;520,00;507,97;312,00;12,03;Hayır;Mağaza;MUS-0130
2026-02-06;ELK-005;Elektronik 5;Elektronik;1;3665,00;3570,73;2932,00;94,27;Hayır;Web;MUS-0034
2026-02-06;ELK-002;Elektronik 2;Elektronik;2;1739,00;3442,79;2782,40;35,21;Hayır;Web;MUS-0301
2026-02-06;EVT-005;Ev Tekstili 5;Ev Tekstili;1;710,00;694,50;355,00;15,50;Hayır;Mağaza;MUS-0267
2026-02-06;AKS-001;Aksesuar 1;Aksesuar;2;184,00;350,84;165,60;17,16;Hayır;Pazaryeri;MUS-0082
2026-02-06;GIY-003;Giyim Ürünü 3;Giyim;3;169,00;485,77;278,85;21,23;Hayır;Web;MUS-0134
2026-02-06;EVT-005;Ev Tekstili 5;Ev Tekstili;1;474,00;471,17;237,00;2,83;Hayır;Mağaza;MUS-0137
2026-02-06;AKS-004;Aksesuar 4;Aksesuar;3;87,00;242,55;117,45;18,45;Hayır;Pazaryeri;MUS-0032
2026-02-06;ELK-002;Elektronik 2;Elektronik;2;5114,00;10099,16;8182,40;128,84;Hayır;Web;MUS-0214
2026-02-06;ELK-001;Elektronik 1;Elektronik;1;5529,00;5358,77;4423,20;170,23;Hayır;Mağaza;MUS-0135
2026-02-06;AKS-005;Aksesuar 5;Aksesuar;1;349,00;335,48;157,05;13,52;Hayır;Mağaza;MUS-0188
2026-02-06;ELK-001;Elektronik 1;Elektronik;3;3434,00;10295,76;8241,60;6,24;Hayır;Pazaryeri;MUS-0021
2026-02-06;EVT-003;Ev Tekstili 3;Ev Tekstili;3;116,00;327,07;174,00;20,93;Hayır;Mağaza;MUS-0109
2026-02-06;EVT-002;Ev Tekstili 2;Ev Tekstili;2;167,00;313,86;167,00;20,14;Hayır;Mağaza;MUS-0197
2026-02-06;EVT-003;Ev Tekstili 3;Ev Tekstili;3;642,00;1880,28;963,00;45,72;Hayır;Pazaryeri;MUS-0207
2026-02-06;AKS-005;Aksesuar 5;Aksesuar;1;94,00;92,97;42,30;1,03;Hayır;Web;MUS-0039
2026-02-07;AKS-002;Aksesuar 2;Aksesuar;3;195,00;547,11;263,25;37,89;Hayır;Mağaza;MUS-0250
2026-02-07;ELK-005;Elektronik 5;Elektronik;2;4416,00;8601,36;7065,60;230,64;Hayır;Pazaryeri;MUS-0051
2026-02-07;ELK-001;Elektronik 1;Elektronik;1;1998,00;1924,22;1598,40;73,78;Hayır;Pazaryeri;MUS-0221
2026-02-07;ELK-005;Elektronik 5;Elektronik;3;2450,00;6785,01;5880,00;564,99;Hayır;Web;MUS-0004
2026-02-07;EVT-002;Ev Tekstili 2;Ev Tekstili;2;853,00;1704,42;853,00;1,58;Hayır;Mağaza;MUS-0170
2026-02-07;GIY-001;Giyim Ürünü 1;Giyim;1;478,00;469,10;262,90;8,90;Hayır;Mağaza;MUS-0095
2026-02-07;GIY-001;Giyim Ürünü 1;Giyim;2;173,00;325,20;190,30;20,80;Hayır;Pazaryeri;MUS-0340
2026-02-07;GIY-002;Giyim Ürünü 2;Giyim;3;546,00;1604,99;900,90;33,01;Hayır;Mağaza;MUS-0293
2026-02-07;AKS-003;Aksesuar 3;Aksesuar;1;230,00;228,04;103,50;1,96;Hayır;Web;MUS-0227
